total_numeric,sexo_fct,nacionalidad_fct,grupo_quinquenal_de_edad_fct,periodo_fct,raza
843011,Hombres,Española,De 0 a 4 años,1 de enero de 2021,Humano
864405,Hombres,Española,De 0 a 4 años,1 de julio de 2020,Humano
885805,Hombres,Española,De 0 a 4 años,1 de enero de 2020,Enano
900435,Hombres,Española,De 0 a 4 años,1 de julio de 2019,Orco
919772,Hombres,Española,De 0 a 4 años,1 de enero de 2019,Ent
931657,Hombres,Española,De 0 a 4 años,1 de julio de 2018,Ent
947417,Hombres,Española,De 0 a 4 años,1 de enero de 2018,Humano
960042,Hombres,Española,De 0 a 4 años,1 de julio de 2017,Humano
976537,Hombres,Española,De 0 a 4 años,1 de enero de 2017,Ent
988915,Hombres,Española,De 0 a 4 años,1 de julio de 2016,Hobbit
1004346,Hombres,Española,De 0 a 4 años,1 de enero de 2016,Humano
1016123,Hombres,Española,De 0 a 4 años,1 de julio de 2015,Ent
1031230,Hombres,Española,De 0 a 4 años,1 de enero de 2015,Humano
1042438,Hombres,Española,De 0 a 4 años,1 de julio de 2014,Ent
1056966,Hombres,Española,De 0 a 4 años,1 de enero de 2014,Ent
1075805,Hombres,Española,De 0 a 4 años,1 de julio de 2013,Ent
1100164,Hombres,Española,De 0 a 4 años,1 de enero de 2013,Ent
1114259,Hombres,Española,De 0 a 4 años,1 de julio de 2012,Orco
1129797,Hombres,Española,De 0 a 4 años,1 de enero de 2012,Troll
1134215,Hombres,Española,De 0 a 4 años,1 de julio de 2011,Orco
1140350,Hombres,Española,De 0 a 4 años,1 de enero de 2011,Ent
1138245,Hombres,Española,De 0 a 4 años,1 de julio de 2010,Hobbit
1144013,Hombres,Española,De 0 a 4 años,1 de enero de 2010,Ent
1142240,Hombres,Española,De 0 a 4 años,1 de julio de 2009,Ent
1141912,Hombres,Española,De 0 a 4 años,1 de enero de 2009,Elfo
1129368,Hombres,Española,De 0 a 4 años,1 de julio de 2008,Elfo
1118603,Hombres,Española,De 0 a 4 años,1 de enero de 2008,Ent
1105770,Hombres,Española,De 0 a 4 años,1 de julio de 2007,Ent
1096644,Hombres,Española,De 0 a 4 años,1 de enero de 2007,Ent
1083182,Hombres,Española,De 0 a 4 años,1 de julio de 2006,Ent
1072070,Hombres,Española,De 0 a 4 años,1 de enero de 2006,Humano
1058224,Hombres,Española,De 0 a 4 años,1 de julio de 2005,Ent
1048578,Hombres,Española,De 0 a 4 años,1 de enero de 2005,Hobbit
1030594,Hombres,Española,De 0 a 4 años,1 de julio de 2004,Humano
1017918,Hombres,Española,De 0 a 4 años,1 de enero de 2004,Hobbit
1001286,Hombres,Española,De 0 a 4 años,1 de julio de 2003,Ent
985156,Hombres,Española,De 0 a 4 años,1 de enero de 2003,Ent
968209,Hombres,Española,De 0 a 4 años,1 de julio de 2002,Orco
957280,Hombres,Española,De 0 a 4 años,1 de enero de 2002,Ent
798653,Mujeres,Española,De 0 a 4 años,1 de enero de 2021,Orco
817937,Mujeres,Española,De 0 a 4 años,1 de julio de 2020,Orco
837328,Mujeres,Española,De 0 a 4 años,1 de enero de 2020,Humano
851133,Mujeres,Española,De 0 a 4 años,1 de julio de 2019,Ent
868402,Mujeres,Española,De 0 a 4 años,1 de enero de 2019,Elfo
879290,Mujeres,Española,De 0 a 4 años,1 de julio de 2018,Ent
893789,Mujeres,Española,De 0 a 4 años,1 de enero de 2018,Orco
905806,Mujeres,Española,De 0 a 4 años,1 de julio de 2017,Humano
921113,Mujeres,Española,De 0 a 4 años,1 de enero de 2017,Elfo
931962,Mujeres,Española,De 0 a 4 años,1 de julio de 2016,Ent
946267,Mujeres,Española,De 0 a 4 años,1 de enero de 2016,Ent
956933,Mujeres,Española,De 0 a 4 años,1 de julio de 2015,Orco
971128,Mujeres,Española,De 0 a 4 años,1 de enero de 2015,Humano
981170,Mujeres,Española,De 0 a 4 años,1 de julio de 2014,Ent
994620,Mujeres,Española,De 0 a 4 años,1 de enero de 2014,Ent
1012088,Mujeres,Española,De 0 a 4 años,1 de julio de 2013,Ent
1034491,Mujeres,Española,De 0 a 4 años,1 de enero de 2013,Orco
1047281,Mujeres,Española,De 0 a 4 años,1 de julio de 2012,Ent
1061928,Mujeres,Española,De 0 a 4 años,1 de enero de 2012,Elfo
1065343,Mujeres,Española,De 0 a 4 años,1 de julio de 2011,Ent
1071484,Mujeres,Española,De 0 a 4 años,1 de enero de 2011,Humano
1070347,Mujeres,Española,De 0 a 4 años,1 de julio de 2010,Ent
1076688,Mujeres,Española,De 0 a 4 años,1 de enero de 2010,Humano
1074817,Mujeres,Española,De 0 a 4 años,1 de julio de 2009,Ent
1075687,Mujeres,Española,De 0 a 4 años,1 de enero de 2009,Orco
1064728,Mujeres,Española,De 0 a 4 años,1 de julio de 2008,Orco
1056389,Mujeres,Española,De 0 a 4 años,1 de enero de 2008,Hobbit
1043505,Mujeres,Española,De 0 a 4 años,1 de julio de 2007,Orco
1035809,Mujeres,Española,De 0 a 4 años,1 de enero de 2007,Ent
1023931,Mujeres,Española,De 0 a 4 años,1 de julio de 2006,Elfo
1014267,Mujeres,Española,De 0 a 4 años,1 de enero de 2006,Ent
1000210,Mujeres,Española,De 0 a 4 años,1 de julio de 2005,Humano
990091,Mujeres,Española,De 0 a 4 años,1 de enero de 2005,Enano
974218,Mujeres,Española,De 0 a 4 años,1 de julio de 2004,Ent
